,index,village,village_gps,route,route_open,lat,long
1,5,kathmandu,"[85.3218318, 27.7096445]",{},{},80.5445865,29.4564505
2,8,patan,"[80.5445865, 29.4564505]",{},{},85.4865616,26.8191246
3,11,simara,"[85.4865616, 26.8191246]",{},{},84.6118232,27.9924068
4,16,gorkha,"[84.6118232, 27.9924068]",{},{},83.054901,27.9657182
5,18,nuwakot,"[83.054901, 27.9657182]",{},{},86.486795,26.7574309
6,25,lahan,"[86.486795, 26.7574309]",{},{},85.5263945,27.6339678
7,29,banepa,"[85.5263945, 27.6339678]",{},{},85.8702579,27.0241083
8,32,bardibas,"[85.8702579, 27.0241083]",{},{},87.2718991,26.4487135
9,43,biratnagar,"[87.2718991, 26.4487135]",{},{},86.5938611,27.3813598
10,58,salyan,"[86.5938611, 27.3813598]",{},{},82.5651405,29.7909974
11,60,mugu,"[82.5651405, 29.7909974]",{},{},87.1019335,26.7396633
12,75,mahendranagar,"[87.1019335, 26.7396633]",{},{},81.7301686,28.217807
13,78,kohalpur,"[81.7301686, 28.217807]",{},{},87.0567205,27.1654605
14,114,bhojpur,"[87.0567205, 27.1654605]",{},{},85.9366836,26.7545187
15,130,janakpur,"[85.9366836, 26.7545187]",{},{},86.0996188,27.3181343
16,138,ramechhap,"[86.0996188, 27.3181343]",{},{},83.4418822,27.707572
17,145,butwal,"[83.4418822, 27.707572]",{},{},86.2085025,26.6539967
18,154,siraha,"[86.2085025, 26.6539967]",{},{},82.8927426,27.5763931
19,157,udayapur,"[82.8927426, 27.5763931]",{},{},85.636381,26.8851706
20,164,parsa,"[85.636381, 26.8851706]",{},{},87.9228271,26.8985334
21,175,ilam,"[87.9228271, 26.8985334]",{},{},87.9875014,26.6234
22,177,birtamod,"[87.9875014, 26.6234]",{},{},87.3272473,26.9830826
23,207,dhankuta,"[87.3272473, 26.9830826]",{},{},84.7943939,27.9546382
24,218,chainpur,"[84.7943939, 27.9546382]",{},{},87.6694236,27.3476856
25,253,taplejung,"[87.6694236, 27.3476856]",{},{},82.8674643,28.1209665
26,259,pyuthan,"[82.8674643, 28.1209665]",{},{},82.5997803,28.6581106
27,268,pokhara,"[82.5997803, 28.6581106]",{},{},84.0486382,28.6044168
28,328,manang,"[84.0486382, 28.6044168]",{},{},85.6349194,27.642831
29,356,panchkhal,"[85.6349194, 27.642831]",{},{},85.5718375,27.6153592
30,360,dhulikhel,"[85.5718375, 27.6153592]",{},{},83.5851655,28.2770405
31,399,baglung,"[83.5851655, 28.2770405]",{},{},85.3610482,27.6580015
32,420,tikathali,"[85.3610482, 27.6580015]",{},{},85.827488,26.693852
33,463,mahottari,"[85.827488, 26.693852]",{},{},84.8581941,28.0507414
34,558,mulpani,"[84.8581941, 28.0507414]",{},{},85.3473482,27.6391361
35,624,harisiddhi,"[85.3473482, 27.6391361]",{},{},84.7211171,27.1775613
36,778,jeetpur,"[84.7211171, 27.1775613]",{},{},87.7486892,27.1152752
37,861,phidim,"[87.7486892, 27.1152752]",{},{},85.3169039,27.6349745
38,906,sunakothi,"[85.3169039, 27.6349745]",{},{},80.5712016,28.9127953
39,914,godawari,"[80.5712016, 28.9127953]",{},{},85.3440776,27.6582077
40,917,imadol,"[85.3440776, 27.6582077]",{},{},85.5235289,27.585077
41,1005,panauti,"[85.5235289, 27.585077]",{},{},85.3208768,27.6171619
42,1517,thecho,"[85.3208768, 27.6171619]",{},{},85.1689119,27.5857281
43,1609,kulekhani,"[85.1689119, 27.5857281]",{},{},86.3333964,26.6660675
44,1694,tulsipur,"[86.3333964, 26.6660675]",{},{},,
